input,output
Fred has 110 blue marbles.  Fred has 22 times more blue marbles than Tim.How many blue marbles does Tim have?,5
"Albert has 35 oranges stored in boxes.If there are 7 boxes, how many oranges must go in each box?",5
"Louise has 42 oranges stored in boxes.If there are 7 boxes, how many oranges must go in each box?",6
"Jessica, Sandy, and Jason each have 8 pencils.How many pencils do they have have in all ?",24
".If Karen sold 36 boxes of Tagalongs, how many cases of 12 boxes does Karen pickup from the cookie mom?",3
"There are 1110 students at a school.If each classroom holds 30 students, how many classrooms are needed at the school?",37
 Tyler had 15 dogs.  Each dog had 5 puppies.How many puppies does Tyler now have?,75
Emily sprinted to Timothy's house.  It is 10 miles from Emily's house to Timothy's house.  It took Emily 2 hours to get there.How fast did Emily go?,5
Sally has 6 blue balloons.  Fred has 3 times more  blue balloons than Sally.How many blue balloons does Fred have now ?,18
"Ruby has 36 candies and 6 bananas.If she shares the candies among 9 friends, how many candies does each friend get?",4
Bert runs 2 miles every day.How many miles will Bert run in 3 weeks?,42
 63 people are going to the zoo.  There are 3 cars to take people to the zoo.How many will go in each car if the same number go in each car?,21
" You want to give your baseball cards to your 5 best friends.  You have 455 baseball cards.How many would each get, if you share them  equally?",91
 Albert has two snakes.  The garden snake is 10 inches long.  The boa constrictor is 7 times longer than the garden snake.How long is the boa  constrictor?,70
"Each child has 5 bottle caps.If there are 9 children, how many bottle caps are there in total?",45
There are 4 crayons in each box.How many crayons are in 3 boxes?,12
Dan bought 9 dozen eggs from the grocery store to bake some cakes.How many eggs did Dan buy ?,108
Jill invited 37 people to her birthday party.  They each ate 8 pieces of pizza.How many pieces of pizza did they eat?,296
"Ashley sold 12 boxes of Samoas.How many cases of 12 boxes, plus extra boxes does Ashley need?",1
"The next act involved several jugglers.If each juggler is juggling 6 balls at a time, how many balls are needed if there are 378 jugglers putting a show at the same time?",2268
 Lukas averages 12 points per game in basketball.How many points would he score in 5 games?,60
 5 boats are in the lake.  Each boat has 3 people.How many people are on boats in the lake?,15
"Shannon, Brenda’s neighbor, joined Brenda in making bracelets.  She brought 48 heart-shaped stones and wanted to have 8 of this type of stone in each of the bracelet she makes.How many bracelets with heart-shaped stones can Shannon make?",6
 Mrs.  Hilt read 4 books.  Each book had 17 chapters in it.  How many chapters did Mrs.Hilt read?,68
Harry is inviting 3 friends to a party.  He has 12 cookies.How many cookies will each friend get?,4
Each ticket costs $9. 00.How much do 4 tickets cost?,36
A restaurant sold 63 hamburgers last week.How many hamburgers on average were sold each day ?,9
".If Karen sold 36 boxes of Tagalongs, how many cases of 12 boxes does Karen pickup from the cookie mom?",3
"There were a total of 12 basketball games in the season.  The season is played for 2 months.How many basketball games were played each month, if each month has the same number of games?",6
 Sue’s family went on vacation.  Her mom drove the car at 60 mph.  They camped at a campground after traveling for 5 hours.How far was the  campground from their home?,300
Dan has 5 blue marbles.  Mary has 2 times more blue marbles than Dan.How many blue marbles does Mary have ?,10
"They entered the circus tent and saw that there are 4 sections for the audience.If each section can accommodate 246 people, how many people can the tent accommodate in total?",984
"Fred, Benny, and Jason have 24 crayons all together.If the crayons are equally divided, how many will each person get ?",8
 There are 124 students making 3 stars each for the school wall.How many stars will they make all together?,372
".If Karen sold 36 boxes of Tagalongs, how many cases of 12 boxes does Karen pickup from the cookie mom?",3
"Sandy worked 45 hours in the last 5 days.Assuming that she worked the same amount of hours each day, how long did she work each day ?",9
Jeffrey wants to split a collection of bottle caps into groups of 2.  Jeffrey has 12 bottle caps.How many groups will be created?,6
"Brenda’s mother made cookies for 5.If she prepared 35 cookies and each of them had the same number of cookies, how many did each of them have?",7
There are 3 calories in a candy bar.How many calories are there in 5 candy bars ?,15
"There are 2 students in the class and 18 pencils.If the pencils are divided equally among the students, how many does each student get?",9
"Ernest has 45 bananas that must be put away in boxes.  Julie comes to help and brings 3 cookies to share with Ernest.If there are 5 boxes, how many bananas must go in each box?",9
 Third-grade students went to a concert in 8 buses.  Each bus took 45 students.How many students went to the concert?,360
"Benny goes to lunch with Sally and Sandy.  The total bill came to 15 dollars.They decided to equally split up the bill, how much will each person have to pay ?",5
"There are 9 students in the class and 81 tickets.If the tickets are divided equally among the students, how many does each student get?",9
"Diana has 3840 erasers.If she shares them among 48 friends, how many erasers does each friend get?",80
" Mrs.  Heine is buying Valentine’s Day treats for her 2 dogs.If she wants to buy them 3 heart biscuits each, how many biscuits does she need to  buy?",6
"Sarah sold 24 boxes of Lemon Chalet Cremes.How many cases of 12 boxes, plus extra boxes does Sarah need?",2
 There are 96 cupcakes for 8 children to share.How much will each person get if they share the cupcakes equally?,12
"Jane’s mom picked cherry tomatoes from their backyard.If she gathered 56 cherry tomatoes and is about to place them in small jars which can contain 8 cherry tomatoes at a time, how many jars will she need?",7
".If Heather bicycled 40 kilometers at 8 kilometers per hour, how long was Heather bicycling?",5
Dan has 29 violet balloons.  Tim has 7 times more violet balloons than Dan.How many violet balloons does Tim have ?,203
Mrs.  Hilt measured the distance from her desk to the water fountain.  It was 30 feet.  How many feet will Mrs.Hilt walk on her trips to the fountain if she goes to the water fountain 4 times today?,120
"Mary, Sam, Keith, and Alyssa each have 6 baseball cards.How many baseball cards do they have in all ?",24
58 children are taking a bus to the zoo.  They sit 2 children in every seat.How many seats will the children need in all?,29
If Norma wandered for 5 hours at 3 miles per hour.How far did Norma go?,15
 Cody is 14 years old.  His grandmother is 6 times as old as he is.How old is Cody’s grandmother?,84
Melanie is selling 4 gumballs for eight cents each.How much money can Melanie get from selling the gumballs?,32
Lewis saved checking on the grapevines for his last stop.  He was told by one of the pickers that they fill 324 drums of grapes per day.How many drums of grapes would be filled in 9 days?,2916
"Sally earns $25. 00 for each house she cleans.If she cleans 96 houses, how many dozens of dollars will she make?",200
 I walk 1 mile every 15 minutes.  I walked 3 miles.How many minutes did it take me ?,45
"Joyce has 40 bananas that must be put away in boxes.  Fred comes to help and brings 18 cookies to share with Joyce.If there are 10 boxes, how many bananas must go in each box?",4
"Sara, Keith, Benny, and Alyssa each have 96 baseball cards.How many dozen baseball cards do they have in all?",32
"Bonnie has 10 tickets.If she shares them among 2 friends, how many tickets does each friend get?",5
The farmers reported that they harvest 45 sacks of apples from each of the 8 sections of the orchard daily.How many sacks are harvested every day?,360
Sandy has 8 dozen books.  Fred has 5 times more books than  Sandy.How many books does Fred have ?,480
 Mrs.  Hilt bought 2 pizzas.  Each pizza had 8 slices.How many total slices of pizza did she have?,16
 The Ferris wheel in Paradise Park has 14 seats.  Each seat can hold 6 people.How many people can ride the Ferris wheel at the same time?,84
"The value of a sport utility vehicle this year is 16,000 dollars , which is 0. 8 of what its value was last year.How much is the value of the vehicle last year?",20000
".If Benjamin skated 80 kilometers at 10 kilometers per hour, how long was Benjamin skating?",8
 There are 84 leaves.  There are 139 ladybugs on each leaf.How many ladybugs are there in all?,11676
If Rose strolled for 4 hours at 2 miles per hour.How far did Rose go?,8
Each bottle cap costs $5. 00.How much do 5 bottle caps cost?,25
Lisa flew 256 miles at 32 miles per hour.How long did Lisa fly?,8
 Emily collected eggs from the hen and put them into 303 baskets.  She put 28 eggs into each basket.How many eggs did Emily collect?,8484
"Melanie, Benny, Sandy, and Jessica each have 9 dozen Pokemon cards.How many Pokemon cards do they have in all ?",432
There are 8 calories in a candy bar.How many calories are there in 3 candy bars ?,24
"I have 648 pencils.If I put 4 pencils in each pencil box, how many pencil boxes will I fill?",162
"Scott has 56 oranges that must be put away in boxes.  Terry comes to help and brings 11 cookies to share with Scott.If there are 8 boxes, how many oranges must go in each box?",7
 A bee has 6 legs.How many legs do 2 bees have?,12
"There was a stack of 700 sheets of used paper.  Lexie wants to place it in boxes for recycling.If every box can contain 100 sheets, how many boxes does Lexie need?",7
 A chocolate chip cookie recipe calls for 2 cups of chocolate chips.  You want to make 23 recipes for a bake sale.How many cups of chocolate  chips will be needed to make all the cookie recipes?,46
 There are 261 fishbowls.  Each fishbowl has 23 fish.How many fish are there?,6003
 Mrs.  Hilt needs to share $3. 75 equally among 3 total people.How much money will each person get?,1.25
